concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"121 - 140 KM/h";"Moto";62
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo leve";232
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"121 - 140 KM/h";"Veículo pesado";3
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"141 - 160 KM/h";"Moto";20
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo leve";34
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"141 - 160 KM/h";"Veículo pesado";6
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"21 - 50 KM/h";"Moto";18
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo leve";718
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"21 - 50 KM/h";"Veículo pesado";286
"AUTOPISTA FERNÃO DIAS";"SAT01";"BR-381";"SP";35.663;"Atibaia";"Principal";-23.094648;-46.572893;"27/03/2022";"Crescente";1;"51 - 80 KM/h";"Moto";520
