concessionaria;identificador;rodovia;uf;km_m;municipio;tipo_de_pista;latitude;longitude;data_de_passagem;sentido_da_passagem;faixa_da_passagem;faixa_de_velocidade;tipo_de_veiculo;volume_total
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"101 - 120 KM/h";"Moto";145
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo leve";2773
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo pesado";72
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"121 - 140 KM/h";"Moto";16
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo leve";338
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo pesado";4
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"141 - 160 KM/h";"Moto";5
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo leve";41
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo pesado";2
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"21 - 50 KM/h";"Moto";6
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo leve";141
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo pesado";32
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"51 - 80 KM/h";"Moto";307
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo leve";6808
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo pesado";2275
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"81 - 100 KM/h";"Moto";367
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo leve";8536
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo pesado";1905
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"<= 20 KM/h";"Moto";4626
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo leve";15
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo pesado";4
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"> 160 KM/h";"Moto";1
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo leve";24
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"04/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo pesado";8
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"101 - 120 KM/h";"Moto";117
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo leve";2154
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo pesado";63
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"121 - 140 KM/h";"Moto";16
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo leve";292
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo pesado";6
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"141 - 160 KM/h";"Moto";4
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo leve";34
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo pesado";3
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"21 - 50 KM/h";"Moto";10
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo leve";178
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"21 - 50 KM/h";"Veículo pesado";75
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"51 - 80 KM/h";"Moto";276
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo leve";6049
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"51 - 80 KM/h";"Veículo pesado";2426
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"81 - 100 KM/h";"Moto";363
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo leve";7856
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"81 - 100 KM/h";"Veículo pesado";2026
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"<= 20 KM/h";"Moto";4313
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo leve";118
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"<= 20 KM/h";"Veículo pesado";23
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"> 160 KM/h";"Moto";1
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo leve";43
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"05/01/2022";"Decrescente";2;"> 160 KM/h";"Veículo pesado";10
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"101 - 120 KM/h";"Moto";108
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo leve";1346
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"101 - 120 KM/h";"Veículo pesado";89
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"121 - 140 KM/h";"Moto";14
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo leve";153
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"121 - 140 KM/h";"Veículo pesado";4
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"141 - 160 KM/h";"Moto";7
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo leve";12
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"141 - 160 KM/h";"Veículo pesado";1
"AUTOPISTA REGIS BITTENCOURT";"SAT01";"BR-116";"SP";288.800;"Itapecerica da Serra";"Principal";-23.713118;-46.878436;"06/01/2022";"Decrescente";2;"21 - 50 KM/h";"Moto";4
